2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'SEQUANS COMMUNICATIONS SA*', France, 379750.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'NEC EUROPE LTD*', United Kingdom, 235350.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'IMINDS', Belgium, 525000.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES*CEA', France, 713398.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'TELECOM ITALIA SPA*', Italy, 261000.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'KATHOLIEKE UNIVERSITEIT LEUVEN*', Belgium, 262550.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'TECNOLOGIAS SERVICIOS TELEMATICOS Y  SISTEMAS SA*TST', Spain, 348125.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'TEKNOLOGIAN TUTKIMUSKESKUS VTT OY*TEKNOLOGISKA FORSKNINGSCENTRALEN', Finland, 524687.50
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'ALCATEL LUCENT DEUTSCHLAND AG*', Germany, 988156.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'ERICSSON AB*EAB', Sweden, 670062.50
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'INTEL DEUTSCHLAND GMBH', Germany, 798268.75
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV*FHG', Germany, 454300.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'WINGS ICT SOLUTIONS INFORMATION & COMMUNICATION TECHNOLOGIES EPE*', Greece, 377000.00
2015, 671563 - FLEX5GWARE - FLEXIBLE AND EFFICIENT HARDWARE/SOFTWARE PLATFORMS FOR 5G NETWORK ELEMENTS AND DEVICES, 'UNIVERSIDAD CARLOS III DE MADRID*', Spain, 598687.50
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'JANMEDIA INTERACTIVE SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA', Poland, 254100.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'NOKIA SOLUTIONS AND NETWORKS SP ZOO*', Poland, 222095.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'ALCATEL LUCENT DEUTSCHLAND AG*', Germany, 458638.75
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'DOCOMO COMMUNICATIONS LABORATORIESEUROPE GMBH*', Germany, 206325.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'DEUTSCHE TELEKOM AG*', Germany, 690762.50
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'INSTITUT DE L'AUDIOVISUEL ET DES TELECOMMUNICATIONS EN EUROPE ASSOCIATION*', France, 297480.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'INTEL DEUTSCHLAND GMBH', Germany, 474197.50
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'NOKIA SOLUTIONS AND NETWORKS MANAGEMENT INTERNATIONAL GMBH*NSN MANAGEMENT INTERNATIONAL', Germany, 197711.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'ORANGE SA*', France, 320571.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'HUAWEI TECHNOLOGIES DUESSELDORF GMBH*HWDU', Germany, 651900.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'SAMSUNG ELECTRONICS (UK) LIMITED*SEUK', United Kingdom, 800556.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'RUTGERS THE STATE UNIVERSITY OF NEW JERSEY*', United States, 0.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'KABUSHIKI GAISHA ENU TI TI DOKOMO*NTT DOCOMO INC', Japan, 0.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'TELECOM ITALIA SPA*', Italy, 340200.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'NOKIA SOLUTIONS AND NETWORKS OY*NSN FINLAND', Finland, 617308.75
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'HUAWEI TECHNOLOGIES CO LTD*HUAWEI', China, 0.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'UNIVERSITAT POLITECNICA DE VALENCIA*', Spain, 240600.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'INDUSTRIAL TECHNOLOGY RESEARCH INSTTITUTE INCORPORATED ASSOCIATION*ITRI', Taiwan, 0.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'POLYTECHNIC INSTITUTE OF NEW YORK UNIVERSITY CORP*NYU POLY', United States, 0.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'TELEFONICA INVESTIGACION Y DESARROLLO SA*', Spain, 219007.50
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'ERICSSON AB*EAB', Sweden, 1237762.50
